horizon,bundle,model,bundle_type,n_features,train_size,test_size,accuracy,precision,recall,f1_score,specificity,roc_auc,true_positives,true_negatives,false_positives,false_negatives,positive_predictive_value,negative_predictive_value,balanced_accuracy,f2_score,mcc
1,sentiment_only,logistic_l1,sentiment,7,169,241,0.5062240663900415,0.38235294117647056,0.2524271844660194,0.30409356725146197,0.6956521739130435,0.45532573519065705,26,96,42,77,0.38235294117647056,0.5549132947976878,0.47403967918953144,0.2708333333333333,-0.05707168544486973
1,sentiment_only,logistic_l2,sentiment,7,169,241,0.5062240663900415,0.38571428571428573,0.2621359223300971,0.31213872832369943,0.6884057971014492,0.45511467567187275,27,95,43,76,0.38571428571428573,0.5555555555555556,0.47527085971577315,0.2800829875518672,-0.053895200791035255
1,sentiment_only,random_forest,sentiment,7,169,241,0.5020746887966805,0.4297520661157025,0.5048543689320388,0.4642857142857143,0.5,0.5148445194878288,52,69,69,51,0.4297520661157025,0.575,0.5024271844660194,0.4878048780487805,0.004802945150119932
1,sentiment_only,gradient_boosting,sentiment,7,169,241,0.46473029045643155,0.42073170731707316,0.6699029126213593,0.5168539325842697,0.3115942028985507,0.4925425636696215,69,43,95,34,0.42073170731707316,0.5584415584415584,0.49074855775995496,0.5989583333333334,-0.019630452306698774
1,sentiment_only,xgboost,sentiment,7,169,241,0.49377593360995853,0.42748091603053434,0.5436893203883495,0.47863247863247865,0.45652173913043476,0.5298297453215141,56,63,75,47,0.42748091603053434,0.5727272727272728,0.5001055297593922,0.5156537753222836,0.00020961922392534173
1,sentiment_only,svm_rbf,sentiment,7,169,241,0.4854771784232365,0.40186915887850466,0.4174757281553398,0.4095238095238095,0.5362318840579711,0.5353172928099057,43,74,64,60,0.40186915887850466,0.5522388059701493,0.4768538061066554,0.4142581888246628,-0.04609177678877745
1,sentiment_only,knn,sentiment,7,169,241,0.43983402489626555,0.3974358974358974,0.6019417475728155,0.47876447876447875,0.3188405797101449,0.4729140284226819,62,44,94,41,0.3974358974358974,0.5176470588235295,0.4603911636414802,0.545774647887324,-0.08201786743837745
1,sentiment_only,naive_bayes,sentiment,7,169,241,0.4979253112033195,0.4423076923076923,0.6699029126213593,0.5328185328185329,0.3695652173913043,0.47762769100886454,69,51,87,34,0.4423076923076923,0.6,0.5197340650063318,0.6073943661971831,0.04086325367045271
1,technical_only,logistic_l1,technical,49,169,241,0.4979253112033195,0.453125,0.8446601941747572,0.5898305084745763,0.2391304347826087,0.5408751934712255,87,33,105,16,0.453125,0.673469387755102,0.541895314478683,0.7201986754966887,0.10299234618394064
1,technical_only,logistic_l2,technical,49,169,241,0.46887966804979253,0.4371859296482412,0.8446601941747572,0.5761589403973509,0.18840579710144928,0.5408751934712255,87,26,112,16,0.4371859296482412,0.6190476190476191,0.5165329956381033,0.7119476268412439,0.043120969731761036
1,technical_only,random_forest,technical,49,169,241,0.4190871369294606,0.4170403587443946,0.9029126213592233,0.5705521472392638,0.057971014492753624,0.5434079076966372,93,8,130,10,0.4170403587443946,0.4444444444444444,0.4804418179259885,0.7322834645669292,-0.07360849732537987
1,technical_only,gradient_boosting,technical,49,169,241,0.44398340248962653,0.4093567251461988,0.6796116504854369,0.5109489051094891,0.26811594202898553,0.47298438159560996,70,37,101,33,0.4093567251461988,0.5285714285714286,0.4738637962572112,0.6003430531732419,-0.05696178405083811
1,technical_only,xgboost,technical,49,169,241,0.45643153526970953,0.42473118279569894,0.7669902912621359,0.5467128027681661,0.2246376811594203,0.5040101308569016,79,31,107,24,0.42473118279569894,0.5636363636363636,0.4958139862107781,0.6605351170568562,-0.009868496444531917
1,technical_only,svm_rbf,technical,49,169,241,0.4979253112033195,0.4274193548387097,0.5145631067961165,0.4669603524229075,0.4855072463768116,0.4874067820458703,53,67,71,50,0.4274193548387097,0.5726495726495726,0.500035176586464,0.4944029850746269,6.963668216267969e-05
1,technical_only,knn,technical,49,169,241,0.5103734439834025,0.4528301886792453,0.6990291262135923,0.549618320610687,0.3695652173913043,0.5224426621640635,72,51,87,31,0.4528301886792453,0.6219512195121951,0.5342971718024483,0.6304728546409807,0.07162109751142948
1,technical_only,naive_bayes,technical,49,169,241,0.4605809128630705,0.4372093023255814,0.912621359223301,0.5911949685534591,0.12318840579710146,0.5392570704938793,94,17,121,9,0.4372093023255814,0.6538461538461539,0.5179048825102013,0.7496012759170654,0.05710231597173088
1,hybrid,logistic_l1,hybrid,56,169,241,0.5103734439834025,0.44966442953020136,0.6504854368932039,0.5317460317460317,0.4057971014492754,0.5215280709159983,67,56,82,36,0.44966442953020136,0.6086956521739131,0.5281412691712397,0.5971479500891266,0.05731189698642019
1,hybrid,logistic_l2,hybrid,56,169,241,0.4854771784232365,0.43636363636363634,0.6990291262135923,0.5373134328358209,0.32608695652173914,0.5304629238778669,72,45,93,31,0.43636363636363634,0.5921052631578947,0.5125580413676657,0.6239168110918544,0.02673999318935236
1,hybrid,random_forest,hybrid,56,169,241,0.4315352697095436,0.42342342342342343,0.912621359223301,0.5784615384615385,0.07246376811594203,0.529126213592233,94,10,128,9,0.42342342342342343,0.5263157894736842,0.4925425636696215,0.7413249211356467,-0.027379430955902964
1,hybrid,gradient_boosting,hybrid,56,169,241,0.4315352697095436,0.40555555555555556,0.7087378640776699,0.5159010600706714,0.2246376811594203,0.47875334177571405,73,31,107,30,0.40555555555555556,0.5081967213114754,0.4666877726185451,0.6165540540540541,-0.075803743497775
1,hybrid,xgboost,hybrid,56,169,241,0.46887966804979253,0.4260355029585799,0.6990291262135923,0.5294117647058824,0.2971014492753623,0.5223723089911354,72,41,97,31,0.4260355029585799,0.5694444444444444,0.4980652877444773,0.6196213425129088,-0.004182105009436313
1,hybrid,svm_rbf,hybrid,56,169,241,0.49377593360995853,0.42962962962962964,0.5631067961165048,0.48739495798319327,0.4420289855072464,0.47572815533980584,58,61,77,45,0.42962962962962964,0.5754716981132075,0.5025678908118756,0.5301645338208409,0.005118525693829769
1,hybrid,knn,hybrid,56,169,241,0.4730290456431535,0.42207792207792205,0.6310679611650486,0.5058365758754864,0.35507246376811596,0.5143520472773323,65,49,89,38,0.42207792207792205,0.5632183908045977,0.4930702124665823,0.5742049469964664,-0.01427539335233812
1,hybrid,naive_bayes,hybrid,56,169,241,0.4605809128630705,0.4372093023255814,0.912621359223301,0.5911949685534591,0.12318840579710146,0.5392570704938793,94,17,121,9,0.4372093023255814,0.6538461538461539,0.5179048825102013,0.7496012759170654,0.05710231597173088
1,sentiment_core,logistic_l1,sentiment,4,169,241,0.48132780082987553,0.3382352941176471,0.22330097087378642,0.26900584795321636,0.6739130434782609,0.44554664415365136,23,93,45,80,0.3382352941176471,0.5375722543352601,0.44860700717602364,0.23958333333333334,-0.11298337728313641
1,sentiment_core,logistic_l2,sentiment,4,169,241,0.46887966804979253,0.3076923076923077,0.1941747572815534,0.23809523809523808,0.6739130434782609,0.4447024060785142,20,93,45,83,0.3076923076923077,0.5284090909090909,0.43404390037990714,0.20964360587002095,-0.1470381751888947
1,sentiment_core,random_forest,sentiment,4,169,241,0.5020746887966805,0.4260869565217391,0.47572815533980584,0.44954128440366975,0.5217391304347826,0.5104826227662866,49,72,66,54,0.4260869565217391,0.5714285714285714,0.4987336428872942,0.4648956356736243,-0.0025084771681013716
1,sentiment_core,gradient_boosting,sentiment,4,169,241,0.47717842323651455,0.4108527131782946,0.5145631067961165,0.45689655172413796,0.4492753623188406,0.4959898691430983,53,62,76,50,0.4108527131782946,0.5535714285714286,0.48191923455747854,0.4898336414048059,-0.0358674991723607
1,sentiment_core,xgboost,sentiment,4,169,241,0.4854771784232365,0.4233576642335766,0.5631067961165048,0.48333333333333334,0.427536231884058,0.5126283945405937,58,59,79,45,0.4233576642335766,0.5673076923076923,0.4953215140002814,0.5282331511839709,-0.00934580106080136
1,sentiment_core,svm_rbf,sentiment,4,169,241,0.5186721991701245,0.4444444444444444,0.5048543689320388,0.4727272727272727,0.5289855072463768,0.5161108766005346,52,73,65,51,0.4444444444444444,0.5887096774193549,0.5169199380892078,0.4914933837429111,0.03349524412024893
1,sentiment_core,knn,sentiment,4,169,241,0.4896265560165975,0.4305555555555556,0.6019417475728155,0.5020242914979757,0.4057971014492754,0.4878289010834388,62,56,82,41,0.4305555555555556,0.5773195876288659,0.5038694245110454,0.5575539568345323,0.007806698670474375
1,sentiment_core,naive_bayes,sentiment,4,169,241,0.46473029045643155,0.3898305084745763,0.44660194174757284,0.416289592760181,0.4782608695652174,0.4577880962431405,46,66,72,57,0.3898305084745763,0.5365853658536586,0.4624314056563951,0.4339622641509434,-0.07435660249757771
1,technical_trend,logistic_l1,technical,15,169,241,0.46887966804979253,0.4396135265700483,0.883495145631068,0.5870967741935483,0.15942028985507245,0.5474883917264668,91,22,116,12,0.4396135265700483,0.6470588235294118,0.5214577177430703,0.7350565428109854,0.06098837306508147
1,technical_trend,logistic_l2,technical,15,169,241,0.4896265560165975,0.4504950495049505,0.883495145631068,0.5967213114754099,0.1956521739130435,0.5413676656817223,91,27,111,12,0.4504950495049505,0.6923076923076923,0.5395736597720557,0.741042345276873,0.10631300126522854
1,technical_trend,random_forest,technical,15,169,241,0.4979253112033195,0.4476744186046512,0.7475728155339806,0.56,0.3115942028985507,0.5104474461798226,77,43,95,26,0.4476744186046512,0.6231884057971014,0.5295835092162656,0.6592465753424658,0.06475138637558062
1,technical_trend,gradient_boosting,technical,15,169,241,0.4854771784232365,0.42105263157894735,0.5436893203883495,0.4745762711864407,0.4420289855072464,0.4795272266779232,56,61,77,47,0.42105263157894735,0.5648148148148148,0.4928591529477979,0.5137614678899083,-0.014206928152080647
1,technical_trend,xgboost,technical,15,169,241,0.4896265560165975,0.4418604651162791,0.7378640776699029,0.5527272727272727,0.30434782608695654,0.508477557337836,76,42,96,27,0.4418604651162791,0.6086956521739131,0.5211059518784298,0.6506849315068494,0.04619599503608605
1,technical_trend,svm_rbf,technical,15,169,241,0.5186721991701245,0.4380952380952381,0.44660194174757284,0.4423076923076923,0.572463768115942,0.5037638947516533,46,79,59,57,0.4380952380952381,0.5808823529411765,0.5095328549317575,0.4448742746615087,0.019021599422990698
1,technical_trend,knn,technical,15,169,241,0.5062240663900415,0.44029850746268656,0.5728155339805825,0.4978902953586498,0.45652173913043476,0.4948642183762487,59,63,75,44,0.44029850746268656,0.5887850467289719,0.5146686365555087,0.5402930402930403,0.029210138177690265
1,technical_trend,naive_bayes,technical,15,169,241,0.5809128630705395,0.5333333333333333,0.1553398058252427,0.24060150375939848,0.8985507246376812,0.4966934008723794,16,124,14,87,0.5333333333333333,0.5876777251184834,0.5269452652314619,0.18099547511312217,0.08075487683012272
1,technical_momentum,logistic_l1,technical,11,169,241,0.43983402489626555,0.4327731092436975,1.0,0.6041055718475073,0.021739130434782608,0.5548051217109892,103,3,135,0,0.4327731092436975,1.0,0.5108695652173914,0.7923076923076923,0.09699541778102284
1,technical_momentum,logistic_l2,technical,11,169,241,0.43983402489626555,0.4327731092436975,1.0,0.6041055718475073,0.021739130434782608,0.5621922048684396,103,3,135,0,0.4327731092436975,1.0,0.5108695652173914,0.7923076923076923,0.09699541778102284
1,technical_momentum,random_forest,technical,11,169,241,0.4605809128630705,0.4293193717277487,0.7961165048543689,0.5578231292517006,0.21014492753623187,0.4911003236245954,82,29,109,21,0.4293193717277487,0.58,0.5031307161953004,0.6799336650082919,0.007638888400557712
1,technical_momentum,gradient_boosting,technical,11,169,241,0.5103734439834025,0.4460431654676259,0.6019417475728155,0.512396694214876,0.4420289855072464,0.48705501618122976,62,61,77,41,0.4460431654676259,0.5980392156862745,0.5219853665400309,0.5626134301270418,0.044026521725565676
1,technical_momentum,xgboost,technical,11,169,241,0.47717842323651455,0.4303030303030303,0.6893203883495146,0.5298507462686567,0.3188405797101449,0.5190657098635149,71,44,94,32,0.4303030303030303,0.5789473684210527,0.5040804840298297,0.6152512998266898,0.008688625237996845
1,technical_momentum,svm_rbf,technical,11,169,241,0.49377593360995853,0.43870967741935485,0.6601941747572816,0.5271317829457365,0.3695652173913043,0.5244125510060504,68,51,87,35,0.43870967741935485,0.5930232558139535,0.514879696074293,0.599647266313933,0.03073032385307575
1,technical_momentum,knn,technical,11,169,241,0.42323651452282157,0.41818181818181815,0.8932038834951457,0.5696594427244582,0.07246376811594203,0.48311523849725624,92,10,128,11,0.41818181818181815,0.47619047619047616,0.48283382580554385,0.7278481012658228,-0.06021998994629497
1,technical_momentum,naive_bayes,technical,11,169,241,0.43568464730290457,0.43037974683544306,0.9902912621359223,0.6,0.021739130434782608,0.5098494442099338,102,3,135,1,0.43037974683544306,0.75,0.5060151962853525,0.785824345146379,0.04658367918310824
1,technical_volume,logistic_l1,technical,5,169,241,0.47717842323651455,0.4327485380116959,0.7184466019417476,0.5401459854014599,0.2971014492753623,0.5493879273955256,74,41,97,29,0.4327485380116959,0.5857142857142857,0.507774025608555,0.6346483704974271,0.016942872510410798
1,technical_volume,logistic_l2,technical,5,169,241,0.4979253112033195,0.4457831325301205,0.7184466019417476,0.550185873605948,0.3333333333333333,0.5451667370198396,74,46,92,29,0.4457831325301205,0.6133333333333333,0.5258899676375405,0.6401384083044983,0.055326727502186215
1,technical_volume,random_forest,technical,5,169,241,0.46473029045643155,0.4375,0.883495145631068,0.5852090032154341,0.15217391304347827,0.5465034473054735,91,21,117,12,0.4375,0.6363636363636364,0.5178345293372731,0.7338709677419355,0.05132880652586705
1,technical_volume,gradient_boosting,technical,5,169,241,0.4854771784232365,0.4461538461538462,0.8446601941747572,0.5838926174496645,0.21739130434782608,0.49873364288729416,87,30,108,16,0.4461538461538462,0.6521739130434783,0.5310257492612916,0.7166392092257001,0.07811136155874962
1,technical_volume,xgboost,technical,5,169,241,0.4896265560165975,0.44623655913978494,0.8058252427184466,0.5743944636678201,0.2536231884057971,0.5385535387645982,83,35,103,20,0.44623655913978494,0.6363636363636364,0.5297242155621218,0.6939799331103679,0.07007461761033168
1,technical_volume,svm_rbf,technical,5,169,241,0.5145228215767634,0.45394736842105265,0.6699029126213593,0.5411764705882353,0.39855072463768115,0.4764668636555508,69,55,83,34,0.45394736842105265,0.6179775280898876,0.5342268186295203,0.6117021276595744,0.07016780440952905
1,technical_volume,knn,technical,5,169,241,0.42323651452282157,0.3941176470588235,0.6504854368932039,0.4908424908424908,0.2536231884057971,0.4582453918671733,67,35,103,36,0.3941176470588235,0.49295774647887325,0.4520543126495005,0.5756013745704467,-0.10406005838572056
1,technical_volume,naive_bayes,technical,5,169,241,0.4605809128630705,0.4372093023255814,0.912621359223301,0.5911949685534591,0.12318840579710146,0.5393977768397356,94,17,121,9,0.4372093023255814,0.6538461538461539,0.5179048825102013,0.7496012759170654,0.05710231597173088
2,sentiment_only,logistic_l1,sentiment,7,169,241,0.3900414937759336,0.3314285714285714,0.6590909090909091,0.44106463878326996,0.23529411764705882,0.4340463458110518,58,36,117,30,0.3314285714285714,0.5454545454545454,0.4471925133689839,0.5502846299810247,-0.11403063763083297
2,sentiment_only,logistic_l2,sentiment,7,169,241,0.38589211618257263,0.33146067415730335,0.6704545454545454,0.44360902255639095,0.2222222222222222,0.43538324420677366,59,34,119,29,0.33146067415730335,0.5396825396825397,0.4463383838383838,0.5566037735849056,-0.1175981581381766
2,sentiment_only,random_forest,sentiment,7,169,241,0.4190871369294606,0.3645833333333333,0.7954545454545454,0.5,0.20261437908496732,0.46412655971479505,70,31,122,18,0.3645833333333333,0.6326530612244898,0.49903446226975634,0.6433823529411765,-0.002310136500697892
2,sentiment_only,gradient_boosting,sentiment,7,169,241,0.42323651452282157,0.35911602209944754,0.7386363636363636,0.483271375464684,0.24183006535947713,0.47103386809269165,65,37,116,23,0.35911602209944754,0.6166666666666667,0.4902332144979204,0.6097560975609756,-0.021749725711303392
2,sentiment_only,xgboost,sentiment,7,169,241,0.42323651452282157,0.34911242603550297,0.6704545454545454,0.4591439688715953,0.28104575163398693,0.44726678550207954,59,43,110,29,0.34911242603550297,0.5972222222222222,0.47575014854426617,0.5662188099808061,-0.05101718941827097
2,sentiment_only,svm_rbf,sentiment,7,169,241,0.42323651452282157,0.3473053892215569,0.6590909090909091,0.4549019607843137,0.2875816993464052,0.5250297088532383,58,44,109,30,0.3473053892215569,0.5945945945945946,0.47333630421865713,0.558766859344894,-0.055662575513844716
2,sentiment_only,knn,sentiment,7,169,241,0.3900414937759336,0.3422459893048128,0.7272727272727273,0.46545454545454545,0.19607843137254902,0.4523915626856804,64,30,123,24,0.3422459893048128,0.5555555555555556,0.46167557932263814,0.5936920222634509,-0.0885064583784453
2,sentiment_only,naive_bayes,sentiment,7,169,241,0.3941908713692946,0.3605769230769231,0.8522727272727273,0.5067567567567568,0.13071895424836602,0.4304812834224599,75,20,133,13,0.3605769230769231,0.6060606060606061,0.49149584076054664,0.6696428571428571,-0.0238209892672859
2,technical_only,logistic_l1,technical,49,169,241,0.4605809128630705,0.3917525773195876,0.8636363636363636,0.5390070921985816,0.22875816993464052,0.544266191325015,76,35,118,12,0.3917525773195876,0.7446808510638298,0.5461972667855021,0.6959706959706959,0.112275121816807
2,technical_only,logistic_l2,technical,49,169,241,0.45228215767634855,0.3804347826086957,0.7954545454545454,0.5147058823529411,0.2549019607843137,0.5529560308972075,70,39,114,18,0.3804347826086957,0.6842105263157895,0.5251782531194296,0.6529850746268657,0.05705534069803469
2,technical_only,random_forest,technical,49,169,241,0.36929460580912865,0.36666666666666664,1.0,0.5365853658536586,0.006535947712418301,0.5207219251336898,88,1,152,0,0.36666666666666664,1.0,0.5032679738562091,0.7432432432432432,0.048954204734834
2,technical_only,gradient_boosting,technical,49,169,241,0.3651452282157676,0.3568281938325991,0.9204545454545454,0.5142857142857142,0.0457516339869281,0.5025995246583482,81,7,146,7,0.3568281938325991,0.5,0.48310308972073673,0.6994818652849741,-0.06955805004930252
2,technical_only,xgboost,technical,49,169,241,0.35684647302904565,0.3562231759656652,0.9431818181818182,0.5171339563862928,0.0196078431372549,0.5083184789067142,83,3,150,5,0.3562231759656652,0.375,0.4813948306595366,0.7094017094017094,-0.10000638305579046
2,technical_only,svm_rbf,technical,49,169,241,0.43568464730290457,0.3620689655172414,0.7159090909090909,0.48091603053435117,0.27450980392156865,0.5014111705288176,63,42,111,25,0.3620689655172414,0.6268656716417911,0.4952094474153298,0.5988593155893536,-0.01029652393364976
2,technical_only,knn,technical,49,169,241,0.3817427385892116,0.36444444444444446,0.9318181818181818,0.5239616613418531,0.06535947712418301,0.505941770647653,82,10,143,6,0.36444444444444446,0.625,0.4985888294711824,0.7105719237435009,-0.005458147838836313
2,technical_only,naive_bayes,technical,49,169,241,0.38589211618257263,0.3623853211009174,0.8977272727272727,0.5163398692810458,0.0915032679738562,0.5372103386809268,79,14,139,9,0.3623853211009174,0.6086956521739131,0.49461527035056446,0.6929824561403509,-0.017647727368691916
2,hybrid,logistic_l1,hybrid,56,169,241,0.42738589211618255,0.375,0.8522727272727273,0.5208333333333334,0.1830065359477124,0.4971776589423648,75,28,125,13,0.375,0.6829268292682927,0.5176396316102199,0.6793478260869565,0.04520636965386147
2,hybrid,logistic_l2,hybrid,56,169,241,0.4190871369294606,0.37254901960784315,0.8636363636363636,0.5205479452054794,0.16339869281045752,0.5037136066547832,76,25,128,12,0.37254901960784315,0.6756756756756757,0.5135175282234106,0.6834532374100719,0.03610758035538633
2,hybrid,random_forest,hybrid,56,169,241,0.36099585062240663,0.3625,0.9886363636363636,0.5304878048780488,0.0,0.4930184194890077,87,0,153,1,0.3625,0.0,0.4943181818181818,0.7347972972972973,-0.08511356050488184
2,hybrid,gradient_boosting,hybrid,56,169,241,0.42323651452282157,0.375609756097561,0.875,0.5255972696245734,0.16339869281045752,0.5329025549613785,77,25,128,11,0.375609756097561,0.6944444444444444,0.5191993464052288,0.6912028725314183,0.051865110880963634
2,hybrid,xgboost,hybrid,56,169,241,0.36929460580912865,0.36324786324786323,0.9659090909090909,0.5279503105590062,0.026143790849673203,0.4742275698158051,85,4,149,3,0.36324786324786323,0.5714285714285714,0.4960264408793821,0.7252559726962458,-0.02278451442461459
2,hybrid,svm_rbf,hybrid,56,169,241,0.38589211618257263,0.3598130841121495,0.875,0.5099337748344371,0.10457516339869281,0.5200534759358288,77,16,137,11,0.3598130841121495,0.5925925925925926,0.4897875816993464,0.6802120141342756,-0.031178618899101836
2,hybrid,knn,hybrid,56,169,241,0.3817427385892116,0.3656387665198238,0.9431818181818182,0.526984126984127,0.058823529411764705,0.5330882352941176,83,9,144,5,0.3656387665198238,0.6428571428571429,0.5010026737967914,0.7167530224525043,0.004127620552376194
2,hybrid,naive_bayes,hybrid,56,169,241,0.38589211618257263,0.3623853211009174,0.8977272727272727,0.5163398692810458,0.0915032679738562,0.5372103386809268,79,14,139,9,0.3623853211009174,0.6086956521739131,0.49461527035056446,0.6929824561403509,-0.017647727368691916
2,sentiment_core,logistic_l1,sentiment,4,169,241,0.3941908713692946,0.3273809523809524,0.625,0.4296875,0.26143790849673204,0.422756981580511,55,40,113,33,0.3273809523809524,0.547945205479452,0.443218954248366,0.5288461538461539,-0.11898832828946182
2,sentiment_core,logistic_l2,sentiment,4,169,241,0.4107883817427386,0.34831460674157305,0.7045454545454546,0.46616541353383456,0.24183006535947713,0.4276589423648247,62,37,116,26,0.34831460674157305,0.5873015873015873,0.47318775995246587,0.5849056603773585,-0.05875838766488824
2,sentiment_core,random_forest,sentiment,4,169,241,0.4190871369294606,0.34523809523809523,0.6590909090909091,0.453125,0.28104575163398693,0.4393568033273916,58,43,110,30,0.34523809523809523,0.589041095890411,0.470068330362448,0.5576923076923077,-0.06272373616828399
